,set_point,measure_variable,error
0,50,91.16567901753558,-41.16567901753558
1,50,92.72952247521614,-42.72952247521614
2,50,95.44259007514115,-45.442590075141155
3,50,96.9845292546152,-46.9845292546152
4,50,98.4742243486462,-48.4742243486462
5,50,95.50748927040131,-45.50748927040131
6,50,98.14252266510408,-48.14252266510408
7,50,97.02549636831807,-47.02549636831807
8,50,97.58888283465073,-47.58888283465073
9,50,97.58471270431852,-47.58471270431852
10,50,93.04348873043806,-43.04348873043806
11,50,126.03481798710713,-76.03481798710713
12,50,120.25248466388857,-70.25248466388857
13,50,118.16869387100103,-68.16869387100103
14,50,104.19898701151577,-54.19898701151577
15,50,105.65889151349934,-55.65889151349934
16,50,104.06991625219646,-54.069916252196464
17,50,105.48912420033867,-55.489124200338665
18,50,106.6256032048212,-56.6256032048212
19,50,109.40125182657694,-59.40125182657694
20,50,115.89422680178744,-65.89422680178744
21,50,82.45237451120666,-32.452374511206656
22,50,85.32741981733209,-35.327419817332085
23,50,85.95011794590955,-35.950117945909554
24,50,81.73028278075915,-31.730282780759154
25,50,82.80026918102645,-32.80026918102645
26,50,86.0930072236274,-36.093007223627396
27,50,88.59563604902924,-38.59563604902924
28,50,85.84302930609512,-35.84302930609512
29,50,84.24291878121991,-34.24291878121991
30,50,80.59805136901268,-30.59805136901268
31,50,82.69961030665401,-32.69961030665401
32,50,82.70920109842612,-32.70920109842612
33,50,84.68323810746176,-34.68323810746176
34,50,82.25482933534687,-32.25482933534687
35,50,81.96783459410055,-31.96783459410055
36,50,83.67893977603893,-33.67893977603893
37,50,83.09581084133863,-33.09581084133863
38,50,85.6426781085144,-35.6426781085144
39,50,85.9208295022883,-35.9208295022883
40,50,85.91461425371196,-35.91461425371196
41,50,84.32501149286006,-34.32501149286006
42,50,82.75196638825564,-32.75196638825564
43,50,81.54866813849625,-31.548668138496254
44,50,83.13486381584458,-33.13486381584458
45,50,83.34408425332587,-33.344084253325875
46,50,82.47981820680717,-32.47981820680717
47,50,81.44838559662934,-31.448385596629336
48,50,80.69874030749622,-30.698740307496223
49,50,81.176769563341,-31.176769563340997
50,50,83.04243200648563,-33.042432006485626
51,50,81.6582676942317,-31.658267694231697
52,50,81.62548550623673,-31.62548550623673
53,50,82.90759379357092,-32.907593793570925
54,50,80.13279420612773,-30.132794206127727
55,50,81.68005804211133,-31.680058042111327
56,50,83.07105041252196,-33.071050412521956
57,50,83.17755800722014,-33.17755800722014
58,50,82.79652388510752,-32.79652388510752
59,50,81.97191617783635,-31.97191617783635
60,50,80.30161351847053,-30.301613518470532
61,50,83.91706488052608,-33.917064880526084
62,50,84.91047894227623,-34.91047894227623
63,50,83.64831889359117,-33.64831889359117
64,50,85.94982275957824,-35.94982275957824
65,50,83.57780201100893,-33.57780201100893
66,50,82.43292817814455,-32.43292817814455
67,50,82.23880204740489,-32.23880204740489
68,50,82.42739215777449,-32.42739215777449
69,50,81.72659700795133,-31.726597007951327
70,50,82.5853247194124,-32.5853247194124
71,50,82.0206709447042,-32.02067094470419
72,50,82.34446037374076,-32.34446037374076
73,50,82.21578733293072,-32.21578733293072
74,50,82.21934240793209,-32.21934240793209
75,50,82.71536810334918,-32.71536810334918
76,50,81.7513566247845,-31.751356624784506
77,50,81.53319103063772,-31.533191030637724
78,50,81.50614181106883,-31.50614181106883
79,50,87.78032721865752,-37.78032721865752
80,50,86.72351329793644,-36.723513297936435
81,50,87.38289270016783,-37.38289270016783
82,50,87.65263006649167,-37.65263006649167
83,50,88.54153135096948,-38.54153135096948
84,50,88.91681289692282,-38.91681289692282
85,50,88.48205953753731,-38.48205953753731
86,50,88.40095324552505,-38.400953245525045
87,50,89.99087869977181,-39.99087869977181
88,50,90.68681259125368,-40.686812591253684
89,50,85.7648866826215,-35.764886682621494
