,set_point,measure_variable,error`
0,50,95.02987283512435,-45.02987283512435
1,50,93.84589281551135,-43.84589281551135
2,50,107.41617452464678,-57.41617452464678
3,50,116.30067887389714,-66.30067887389714
4,50,113.07331671415066,-63.073316714150664
5,50,107.49736199921003,-57.49736199921003
6,50,104.37740148027538,-54.37740148027538
7,50,102.29451400538365,-52.29451400538365
8,50,100.9497569702227,-50.949756970222694
9,50,99.91323165600981,-49.91323165600981
10,50,98.32749102774801,-48.32749102774801
11,50,98.40943706623825,-48.409437066238254
12,50,91.72290610009112,-41.72290610009112
13,50,84.54598328533744,-34.54598328533744
14,50,83.48983382444735,-33.489833824447345
15,50,84.90817421045472,-34.90817421045472
16,50,83.69544793310665,-33.69544793310665
17,50,84.02995825529253,-34.02995825529253
18,50,84.0649310728004,-34.064931072800405
19,50,85.74593032089327,-35.745930320893265
20,50,85.59897786096954,-35.59897786096954
21,50,86.32933851136815,-36.32933851136815
22,50,87.27556996648109,-37.275569966481086
23,50,87.57512903588791,-37.57512903588791
24,50,87.92133383315534,-37.921333833155344
25,50,85.86439025011057,-35.864390250110574
26,50,86.58346356188486,-36.583463561884855
27,50,84.83394232825815,-34.833942328258146
28,50,85.82316744061539,-35.82316744061539
29,50,84.81624845660824,-34.816248456608236
30,50,84.61327300156861,-34.613273001568615
31,50,83.9362352413289,-33.9362352413289
32,50,82.9617453440351,-32.961745344035094
33,50,82.8877466607047,-32.88774666070471
34,50,80.71037600197124,-30.71037600197124
35,50,80.75844706366031,-30.758447063660313
36,50,82.32211773506307,-32.322117735063074
37,50,83.31695523572022,-33.316955235720215
38,50,80.56237271053858,-30.562372710538583
39,50,80.0993791975782,-30.0993791975782
40,50,79.7243771529232,-29.724377152923196
41,50,78.83274569063926,-28.832745690639257
42,50,79.28171640902784,-29.281716409027837
43,50,76.50345831251644,-26.503458312516443
44,50,78.95450284223112,-28.954502842231122
